_id,patcnty1,dsch_yr,mdc,mdc_desc,Discharges,AnnotationCode,AnnotationDesc
27,Alameda,2013,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",7606,,
28,Alameda,2013,2,"EYE, DISEASES & DISORDERS",223,,
29,Alameda,2013,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1430,,
30,Alameda,2013,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",10880,,
31,Alameda,2013,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",14709,,
32,Alameda,2013,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",11019,,
33,Alameda,2013,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3786,,
34,Alameda,2013,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",10634,,
35,Alameda,2013,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",3239,,
36,Alameda,2013,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3961,,
37,Alameda,2013,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",5083,,
38,Alameda,2013,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",528,,
39,Alameda,2013,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1734,,
40,Alameda,2013,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",20413,,
41,Alameda,2013,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,19849,,
42,Alameda,2013,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1670,,
43,Alameda,2013,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1173,,
44,Alameda,2013,18,INFECTIOUS & PARASITIC DISEASES,8306,,
45,Alameda,2013,19,MENTAL DISEASES & DISORDERS,7022,,
46,Alameda,2013,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1167,,
47,Alameda,2013,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1820,,
48,Alameda,2013,22,BURNS,83,,
49,Alameda,2013,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2833,,
50,Alameda,2013,24,MULTIPLE SIGNFICANT TRAUMA,324,,
51,Alameda,2013,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,267,,
52,Alameda,2014,0,UNGROUPABLE,4,,
53,Alameda,2014,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",7521,,
54,Alameda,2014,2,"EYE, DISEASES & DISORDERS",183,,
55,Alameda,2014,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1283,,
56,Alameda,2014,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",10397,,
57,Alameda,2014,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13211,,
58,Alameda,2014,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",10655,,
59,Alameda,2014,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3737,,
60,Alameda,2014,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",10771,,
61,Alameda,2014,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",3084,,
62,Alameda,2014,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3783,,
63,Alameda,2014,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4816,,
64,Alameda,2014,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",427,,
65,Alameda,2014,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1554,,
66,Alameda,2014,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",20676,,
67,Alameda,2014,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,20046,,
68,Alameda,2014,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1678,,
69,Alameda,2014,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1301,,
70,Alameda,2014,18,INFECTIOUS & PARASITIC DISEASES,8790,,
71,Alameda,2014,19,MENTAL DISEASES & DISORDERS,7201,,
72,Alameda,2014,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1377,,
73,Alameda,2014,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1932,,
74,Alameda,2014,22,BURNS,99,,
75,Alameda,2014,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2473,,
76,Alameda,2014,24,MULTIPLE SIGNFICANT TRAUMA,336,,
77,Alameda,2014,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,249,,
78,Alameda,2015,0,UNGROUPABLE,11,,
79,Alameda,2015,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",7712,,
80,Alameda,2015,2,"EYE, DISEASES & DISORDERS",147,,
81,Alameda,2015,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1348,,
82,Alameda,2015,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",10453,,
83,Alameda,2015,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",12915,,
84,Alameda,2015,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",10015,,
85,Alameda,2015,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3652,,
86,Alameda,2015,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",11273,,
87,Alameda,2015,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",3122,,
88,Alameda,2015,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3803,,
89,Alameda,2015,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4902,,
90,Alameda,2015,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",399,,
91,Alameda,2015,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1441,,
92,Alameda,2015,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",20323,,
93,Alameda,2015,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,19843,,
94,Alameda,2015,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1562,,
95,Alameda,2015,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1271,,
96,Alameda,2015,18,INFECTIOUS & PARASITIC DISEASES,9544,,
97,Alameda,2015,19,MENTAL DISEASES & DISORDERS,7256,,
98,Alameda,2015,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1225,,
99,Alameda,2015,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1746,,
100,Alameda,2015,22,BURNS,94,,
101,Alameda,2015,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2282,,
102,Alameda,2015,24,MULTIPLE SIGNFICANT TRAUMA,364,,
103,Alameda,2015,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,249,,
104,Alameda,2016,0,UNGROUPABLE,1,,
105,Alameda,2016,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8223,,
106,Alameda,2016,2,"EYE, DISEASES & DISORDERS",203,,
107,Alameda,2016,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1213,,
108,Alameda,2016,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",9858,,
109,Alameda,2016,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13209,,
110,Alameda,2016,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",10120,,
111,Alameda,2016,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3666,,
112,Alameda,2016,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",11622,,
113,Alameda,2016,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",3008,,
114,Alameda,2016,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3979,,
115,Alameda,2016,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",5075,,
116,Alameda,2016,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",399,,
117,Alameda,2016,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1368,,
118,Alameda,2016,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",20644,,
119,Alameda,2016,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,20105,,
120,Alameda,2016,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1556,,
121,Alameda,2016,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1440,,
122,Alameda,2016,18,INFECTIOUS & PARASITIC DISEASES,9991,,
123,Alameda,2016,19,MENTAL DISEASES & DISORDERS,7065,,
124,Alameda,2016,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1248,,
125,Alameda,2016,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1684,,
126,Alameda,2016,22,BURNS,79,,
127,Alameda,2016,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,1226,,
128,Alameda,2016,24,MULTIPLE SIGNFICANT TRAUMA,385,,
129,Alameda,2016,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,219,,
130,Alameda,2017,0,UNGROUPABLE,6,,
131,Alameda,2017,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8242,,
132,Alameda,2017,2,"EYE, DISEASES & DISORDERS",167,,
133,Alameda,2017,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1259,,
134,Alameda,2017,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",9845,,
135,Alameda,2017,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13363,,
136,Alameda,2017,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",9692,,
137,Alameda,2017,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3708,,
138,Alameda,2017,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",11459,,
139,Alameda,2017,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2884,,
140,Alameda,2017,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3904,,
141,Alameda,2017,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4794,,
142,Alameda,2017,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",407,,
143,Alameda,2017,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1104,,
144,Alameda,2017,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",19881,,
145,Alameda,2017,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,19154,,
146,Alameda,2017,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1474,,
147,Alameda,2017,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1399,,
148,Alameda,2017,18,INFECTIOUS & PARASITIC DISEASES,10953,,
149,Alameda,2017,19,MENTAL DISEASES & DISORDERS,6938,,
150,Alameda,2017,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1195,,
151,Alameda,2017,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1610,,
152,Alameda,2017,22,BURNS,113,,
153,Alameda,2017,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,1174,,
154,Alameda,2017,24,MULTIPLE SIGNFICANT TRAUMA,384,,
155,Alameda,2017,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,241,,
156,Alameda,2018,0,UNGROUPABLE,3,,
157,Alameda,2018,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8269,,
158,Alameda,2018,2,"EYE, DISEASES & DISORDERS",160,,
159,Alameda,2018,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1221,,
160,Alameda,2018,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",9344,,
161,Alameda,2018,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",14103,,
162,Alameda,2018,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",9365,,
163,Alameda,2018,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3615,,
164,Alameda,2018,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",10274,,
165,Alameda,2018,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2466,,
166,Alameda,2018,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3823,,
167,Alameda,2018,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4607,,
168,Alameda,2018,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",396,,
169,Alameda,2018,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1017,,
170,Alameda,2018,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",19403,,
171,Alameda,2018,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,18595,,
172,Alameda,2018,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",1492,,
173,Alameda,2018,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1270,,
174,Alameda,2018,18,INFECTIOUS & PARASITIC DISEASES,11542,,
175,Alameda,2018,19,MENTAL DISEASES & DISORDERS,6734,,
176,Alameda,2018,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1111,,
177,Alameda,2018,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1605,,
178,Alameda,2018,22,BURNS,115,,
179,Alameda,2018,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,909,,
180,Alameda,2018,24,MULTIPLE SIGNFICANT TRAUMA,404,,
181,Alameda,2018,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,206,,
182,Alameda,2019,0,PRE-MDC,509,,
183,Alameda,2019,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8251,,
184,Alameda,2019,2,"EYE, DISEASES & DISORDERS",171,,
185,Alameda,2019,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1039,,
186,Alameda,2019,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",8973,,
187,Alameda,2019,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13985,,
188,Alameda,2019,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",9227,,
189,Alameda,2019,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3566,,
190,Alameda,2019,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",10232,,
191,Alameda,2019,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2421,,
192,Alameda,2019,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3813,,
193,Alameda,2019,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4693,,
194,Alameda,2019,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",412,,
195,Alameda,2019,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",988,,
196,Alameda,2019,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",19299,,
197,Alameda,2019,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,18288,,
198,Alameda,2019,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",1380,,
199,Alameda,2019,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1290,,
200,Alameda,2019,18,INFECTIOUS & PARASITIC DISEASES,11680,,
201,Alameda,2019,19,MENTAL DISEASES & DISORDERS,6496,,
202,Alameda,2019,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1110,,
203,Alameda,2019,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1657,,
204,Alameda,2019,22,BURNS,115,,
205,Alameda,2019,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,942,,
206,Alameda,2019,24,MULTIPLE SIGNFICANT TRAUMA,387,,
207,Alameda,2019,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,228,,
208,Alameda,2020,0,PRE-MDC,475,,
209,Alameda,2020,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",7464,,
210,Alameda,2020,2,"EYE, DISEASES & DISORDERS",159,,
211,Alameda,2020,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",837,,
212,Alameda,2020,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",8696,,
213,Alameda,2020,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",11849,,
214,Alameda,2020,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",7948,,
215,Alameda,2020,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3153,,
216,Alameda,2020,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",7600,,
217,Alameda,2020,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",1858,,
218,Alameda,2020,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3481,,
219,Alameda,2020,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4104,,
220,Alameda,2020,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",275,,
221,Alameda,2020,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",783,,
222,Alameda,2020,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",18398,,
223,Alameda,2020,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,17697,,
224,Alameda,2020,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",1221,,
225,Alameda,2020,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1187,,
226,Alameda,2020,18,INFECTIOUS & PARASITIC DISEASES,11212,,
227,Alameda,2020,19,MENTAL DISEASES & DISORDERS,6269,,
228,Alameda,2020,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1022,,
229,Alameda,2020,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1634,,
230,Alameda,2020,22,BURNS,114,,
231,Alameda,2020,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,699,,
232,Alameda,2020,24,MULTIPLE SIGNFICANT TRAUMA,377,,
233,Alameda,2020,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,156,,
234,Alameda,2021,0,PRE-MDC,4,,
235,Alameda,2021,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8035,,
236,Alameda,2021,2,"EYE, DISEASES & DISORDERS",166,,
237,Alameda,2021,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",959,,
238,Alameda,2021,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",8525,,
239,Alameda,2021,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13374,,
240,Alameda,2021,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",8166,,
241,Alameda,2021,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3452,,
242,Alameda,2021,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",7798,,
243,Alameda,2021,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",1851,,
244,Alameda,2021,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3863,,
245,Alameda,2021,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4342,,
246,Alameda,2021,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",254,,
247,Alameda,2021,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",785,,
248,Alameda,2021,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",17968,,
249,Alameda,2021,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,17157,,
250,Alameda,2021,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",1273,,
251,Alameda,2021,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1365,,
252,Alameda,2021,18,INFECTIOUS & PARASITIC DISEASES,11897,,
253,Alameda,2021,19,MENTAL DISEASES & DISORDERS,5987,,
254,Alameda,2021,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1098,,
255,Alameda,2021,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1632,,
256,Alameda,2021,22,BURNS,112,,
257,Alameda,2021,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,735,,
258,Alameda,2021,24,MULTIPLE SIGNFICANT TRAUMA,492,,
259,Alameda,2021,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,152,,
260,Alameda,2022,0,PRE-MDC,10,,
261,Alameda,2022,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8337,,
262,Alameda,2022,2,"EYE, DISEASES & DISORDERS",189,,
263,Alameda,2022,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",928,,
264,Alameda,2022,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",9318,,
265,Alameda,2022,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13722,,
266,Alameda,2022,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",8406,,
267,Alameda,2022,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3539,,
268,Alameda,2022,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",7554,,
269,Alameda,2022,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2020,,
270,Alameda,2022,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",4282,,
271,Alameda,2022,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4630,,
272,Alameda,2022,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",250,,
273,Alameda,2022,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",840,,
274,Alameda,2022,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",17729,,
275,Alameda,2022,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,17114,,
276,Alameda,2022,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",1354,,
277,Alameda,2022,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1461,,
278,Alameda,2022,18,INFECTIOUS & PARASITIC DISEASES,12058,,
279,Alameda,2022,19,MENTAL DISEASES & DISORDERS,5374,,
280,Alameda,2022,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1115,,
281,Alameda,2022,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1651,,
282,Alameda,2022,22,BURNS,87,,
283,Alameda,2022,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,656,,
284,Alameda,2022,24,MULTIPLE SIGNFICANT TRAUMA,410,,
285,Alameda,2022,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,174,,
